tas,date, Country, ISO3, ISO2
22.9839,1943-8,KEN,,
23.7457,1943-9,KEN,,
24.9805,1943-10,KEN,,
25.41,1943-11,KEN,,
25.3246,1943-12,KEN,,
24.1266,1944-1,KEN,,
25.8783,1944-2,KEN,,
26.1365,1944-3,KEN,,
26.1342,1944-4,KEN,,
25.0794,1944-5,KEN,,
23.9482,1944-6,KEN,,
22.8973,1944-7,KEN,,
23.267,1944-8,KEN,,
24.1976,1944-9,KEN,,
25.0342,1944-10,KEN,,
25.6289,1944-11,KEN,,
25.2544,1944-12,KEN,,
25.4051,1945-1,KEN,,
25.6546,1945-2,KEN,,
26.7299,1945-3,KEN,,
26.7845,1945-4,KEN,,
25.4124,1945-5,KEN,,
23.128,1945-6,KEN,,
22.904,1945-7,KEN,,
23.0523,1945-8,KEN,,
23.8016,1945-9,KEN,,
25.0258,1945-10,KEN,,
24.9392,1945-11,KEN,,
24.776,1945-12,KEN,,
25.0345,1946-1,KEN,,
25.8968,1946-2,KEN,,
26.3755,1946-3,KEN,,
26.0322,1946-4,KEN,,
25.3691,1946-5,KEN,,
23.6928,1946-6,KEN,,
22.9438,1946-7,KEN,,
22.9289,1946-8,KEN,,
23.7672,1946-9,KEN,,
24.8613,1946-10,KEN,,
25.1658,1946-11,KEN,,
25.6261,1946-12,KEN,,
25.823,1947-1,KEN,,
25.927,1947-2,KEN,,
26.3756,1947-3,KEN,,
25.3435,1947-4,KEN,,
24.2579,1947-5,KEN,,
23.6929,1947-6,KEN,,
23.1835,1947-7,KEN,,
23.002,1947-8,KEN,,
24.0386,1947-9,KEN,,
24.672,1947-10,KEN,,
25.0853,1947-11,KEN,,
24.5216,1947-12,KEN,,
24.8994,1948-1,KEN,,
25.5161,1948-2,KEN,,
26.0542,1948-3,KEN,,
25.7303,1948-4,KEN,,
25.4023,1948-5,KEN,,
23.2559,1948-6,KEN,,
22.5668,1948-7,KEN,,
22.968,1948-8,KEN,,
23.6743,1948-9,KEN,,
24.4166,1948-10,KEN,,
23.9009,1948-11,KEN,,
23.954,1948-12,KEN,,
24.5426,1949-1,KEN,,
25.5492,1949-2,KEN,,
26.0435,1949-3,KEN,,
26.3928,1949-4,KEN,,
25.273,1949-5,KEN,,
23.2666,1949-6,KEN,,
22.6226,1949-7,KEN,,
23.2093,1949-8,KEN,,
23.5712,1949-9,KEN,,
24.9423,1949-10,KEN,,
25.1947,1949-11,KEN,,
24.6371,1949-12,KEN,,
